"GDP per capita, current prices
 (U.S. dollars per capita)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028
Botswana,1219.569,1057.067,1075.452,1145.987,1097.548,985.391,1288.644,1947.606,2439.381,2628.077,2797.478,2718.95,2729.751,2674.397,2802.477,3084.8,3087.859,3071.641,2886.26,3188.541,3290.347,3099.104,3005.538,4088.461,4743.633,5194.705,5142.914,5371.808,5345.848,4938.25,6041.732,7080.778,6392.987,6436.603,6844.033,5869.738,6411.552,6705.341,6947.818,6679.188,5863.182,7238.796,7737.655,7758.371,8067.193,8499.7,9025.803,9512.501,10073.29
Brazil,1203.615,1353.019,1415.339,1110.691,1082.233,1682.789,1913.312,2042.86,2240.525,3021.975,3108.808,2717.508,2561.124,2828.455,3547.02,4923.871,5281.678,5399.969,5199.453,3567.631,3864.917,3256.18,2926.341,3165.195,3750.129,4938.537,6066.958,7572.61,9096.943,8851.059,11578.7,13631.421,12782.844,12752.255,12601.257,9182.996,9117.56,10419.576,9629.603,9364.237,7344.529,8165.637,9455.328,10412.997,11029.175,11441.81,11933.778,12617.438,13230.077
Brunei Darussalam,no data,no data,no data,no data,no data,21770.731,14544.374,16561.019,15281.058,16683.224,19428.846,20171.327,20679.723,20430.168,21350.36,24895.613,24460.83,23344.446,17294.914,18237.075,20473.284,18646.04,19037.814,20975.54,24759.511,29459.699,34869.24,36678.272,42529.703,31287.341,35437.251,47092.346,47776.368,44865.244,41947.487,31353.779,27321.997,28443.168,31074.01,29865.278,27174.73,31781.303,37850.978,34383.527,35813.101,36841.59,38049.915,39627.06,41177.079
Bulgaria,4286.209,4609.426,4793.655,4913.838,5210.542,4458.09,3946.885,4581.216,7506.638,7678.816,3407.07,336.65,1380.594,758.059,1348.67,2284.824,1494.786,1386.466,1854.468,1689.293,1625.322,1797.392,2090.683,2710.577,3370.382,3869.588,4477.028,5815.474,7161.75,6878.061,6753.335,7872.043,7454.003,7702.783,7925.691,7098.587,7596.976,8414.389,9489.657,9914.386,10170.723,12300.185,13821.205,16086.569,17319.642,18555.349,19671.142,20744.294,21862.604
Burkina Faso,338.66,287.809,261.617,233.14,203.12,218.83,279.032,315.981,339.602,330.706,381.987,376.497,393.316,365.7,214.467,258.491,273.892,252.618,281.638,293.779,249.18,260.445,286.551,363.727,405.267,443.189,457.366,516.811,621.822,603.222,627.783,727.484,734.438,762.315,767.569,632.191,664.926,714.64,779.509,772.227,833.783,891.781,831.658,888.029,952.37,1004.579,1054.409,1096.5,1140.804
Burundi,232.381,234.94,241.083,247.995,218.999,247.644,253.424,231.932,211.184,213.175,207.113,207.674,187.243,162.572,157.474,167.177,142.588,157.054,141.755,133.412,130.225,127.349,116.392,108.066,122.381,148.71,164.575,170.174,195.79,208.78,231.549,247.097,250.118,255.319,273.133,304.243,281.062,291.859,271.289,261.294,259.906,273.956,310.986,245.811,228.822,248.087,267.072,287.995,309.158
Cabo Verde,541.435,522.81,517.666,499.536,466.312,476.329,645.817,783.24,861.862,853.014,957.369,974.873,1062.47,1046.265,1180.486,1378.161,1385.771,1322.336,1376.757,1541.831,1399.088,1387.33,1501.545,2051.814,2295.724,2359.62,2623.337,3391.227,3985.213,3727.309,3632.185,4028.638,3722.1,3900.957,3878.774,3283.571,3438.763,3596.388,3811.549,4053.646,3359.53,3665.199,4048.436,4502.784,4790.431,5062.449,5349.525,5627.079,5917.426
Cambodia,no data,no data,no data,no data,no data,no data,25.707,17.116,32.608,39.704,99.833,215.671,252.491,242.479,265.056,319.537,316.188,302.166,267.864,293.699,299.982,320.046,337.501,360.659,405.618,470.64,536.135,627.781,741.822,737.177,788.182,889.745,965.379,1034.768,1123.131,1203.435,1320.282,1448.02,1587.935,1736.317,1643.758,1679.921,1801.87,1915.628,2036.988,2176.235,2330.012,2486.813,2656.006
Cameroon,1004.846,1106.193,1031.862,1012.33,1041.933,1059.933,1344.534,1514.218,1493.9,1292.834,1255.123,1357.676,1207.539,1222.984,808.04,745.55,808.211,794.939,772.304,765.544,660.382,687.404,756.14,949.02,1089.418,1101.546,1147.497,1277.667,1439.39,1409.942,1353.407,1464.888,1404.412,1527.773,1604.627,1382.65,1412.866,1468.929,1585.96,1533.161,1539.354,1667.318,1587.953,1721.954,1807.368,1891.033,1957.996,2017.335,2081.433
Canada,11281.422,12396.666,12543.938,13493.198,13947.358,14185.922,14539.75,16408.139,19041.182,20842.455,21572.137,21885.57,20984.778,20210.452,20024.581,20706.725,21325.69,21930.485,21046.556,22340.553,24296.721,23859.714,24279.186,28338.745,32176.593,36439.62,40558.897,44716.985,46773.837,40990.625,47627.345,52285.937,52744.004,52708.61,51020.843,43626.47,42382.635,45191.993,46625.859,46449.962,43383.713,52387.812,55036.52,53246.981,55527.987,57899.394,59838.169,61739.89,63759.102
Central African Republic,313.369,316.495,298.747,279.719,265.441,340.227,431.342,465.181,490.939,474.879,539.656,502.896,489.786,418.922,268.106,340.988,298.443,285.804,296.103,290.99,238.505,242.794,260.865,310.302,336.409,356.688,381.315,427.313,485.807,482.648,492.078,551.028,566.199,380.304,424.67,377.476,402.053,450.744,488.553,480.145,494.489,525.164,490.94,539.24,572.9,600.386,626.694,648.491,672.103
Chad,163.554,189.349,178.888,174.759,182.983,192.956,230.715,253.529,287.003,262.413,306.217,293.844,296.666,251.096,196.901,233.418,250.861,232.968,254.121,215.939,188.139,223.102,250.264,330.959,513.888,661.203,712.529,803.018,932.601,805.798,895.354,985.629,970.738,982.92,1024.838,776.105,700.558,671.18,713.426,689.327,654.882,697.038,694.594,702.845,715.524,727.125,740.723,754.921,766.721
Chile,2598.159,3025.972,2219.964,1774.676,1698.949,1434.434,1515.068,1756.21,2035.335,2305.635,2521.569,2849.743,3392.088,3572.096,4058.557,5153.88,5387.405,5799.339,5475.546,4985.768,5099.922,4608.057,4479.771,4824.87,6183.906,7558.009,9410.392,10447.116,10759.738,10176.733,12723.064,14560.249,15316.01,15740.391,14582.85,13494.489,13722.878,15003.77,15755.003,14567.988,13067.742,16092.149,15166.472,17253.752,17647.269,18433.623,19210.04,19960.757,20773.528
"China, People's Republic of",306.98,288.491,279.971,296.509,301.111,292.99,279.908,299.842,368.079,406.534,346.873,356.759,420.025,520.966,468.658,603.526,703.06,774.91,820.903,865.236,951.163,1044.958,1141.14,1282.21,1499.712,1751.368,2095.239,2691.048,3446.695,3813.408,4499.803,5553.242,6282.709,7039.574,7645.875,8034.287,8063.446,8760.259,9848.949,10170.061,10525.001,12572.071,12669.617,12541.403,13155.889,14031.401,14951.6,15843.618,16802.947
Colombia,1682.427,1792.984,1878.86,1827.905,1767.893,1623.658,1592.848,1624.054,1714.91,1694.091,1691.106,1712.347,1986.543,2209.203,2726.817,3035.313,3137.068,3399.33,3090.903,2673.665,2535.477,2461.328,2424.349,2313.535,2827.173,3493.976,3836.672,4834.416,5622.109,5330.795,6498.597,7518.304,8237.306,8409.688,8312.056,6337.038,6037.126,6577.287,6923.64,6540.141,5363.067,6239.269,6658.119,6975.868,7087.114,7333.592,7642.291,7976.578,8325.489
Comoros,684.569,584.519,541.617,513.524,490.137,482.697,629.744,741.276,772.133,731.08,868.945,895.707,955.474,916.695,660.355,806.805,789.145,714.272,701.452,703.067,628.071,675.05,757.399,949.68,1055.357,1085.659,1110.984,1251.857,1403.796,1351.145,1322.638,1450.159,1403.417,1500.731,1505.178,1231.135,1256.035,1300.566,1386.014,1359.75,1357.291,1395.028,1294.354,1377.022,1406.205,1440.587,1480.295,1512.776,1542.586
