"GDP per capita, current prices
 (U.S. dollars per capita)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028
Malta,3811.847,3691.859,3467.399,3262.692,3114.332,3126.09,3953.405,4898.042,5522.986,5728.285,6811.662,7215.068,7945.163,7009.556,7684.416,8978.862,9107.638,9147.98,9621.951,9983.877,10482,10447.791,11346.456,13730.313,15260.887,15930.142,16818.012,19696.182,22378.184,21223.678,21842.065,23222.385,22674.787,24972.679,27080.097,25228.175,25897.872,29284.984,32397.208,32405.729,29618.07,35069.223,34819.265,38715.185,41124.11,43332.126,45559.736,47613.881,49628.957
Marshall Islands,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2231.747,2242.037,2230.645,2242.869,2422.927,2655.592,2625.241,2634.419,2689.53,2772.864,2893.428,2781.614,2881.209,3029.421,3236.508,3429.322,3584.073,3638.806,3669.525,4121.238,4526.757,4831.339,5244.74,5465.255,5804.071,5839.966,6141.234,6442.813,6647.346,6841.887,7025.151,7213.325
Mauritania,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,898.741,1002.023,1026.904,852.513,872.712,912.587,904.326,854.319,812.206,773.412,673.361,641.849,634.588,711.709,796.923,963.498,1357.425,1425.466,1647.288,1475.591,1715.923,2012.828,1946.079,2072.492,1826.78,1668.065,1690.813,1758.542,1882.203,1987.267,2076.432,2332.898,2284.925,2337.914,2408.229,2517.223,2556.745,2597.822,2642.813
Mauritius,1285.181,1202.559,1139.539,1195.617,1094.957,1099.752,1473.694,1852.036,2132.884,2174.94,2590.272,2819.084,3133.035,3191.192,3492.709,3954.762,4047.248,3753.498,3751.708,3911.109,4157.831,4081.162,4252.93,5072.811,5701.753,5590.468,5772.667,6663.186,8138.17,7416.659,8108.095,9320.873,9416.335,9766.77,10366.355,9507.999,9967.673,10844.145,11642.891,11407.849,9005.348,9080.262,10227.044,11751.506,12773.298,13724.49,14394.912,14973.163,15515.375
Mexico,3584.206,4489.985,3180.165,2532.069,2918.293,3028.68,2052.183,2203.697,2641.616,3156.531,3654.679,4300.609,4898.055,5967.597,6126.624,4139.438,4632.181,5526.253,5800.064,6475.417,7511.855,7952.173,7987.331,7440.437,7858.828,8683.423,9521.36,10137.084,10520.798,8416.38,9718.129,10653.037,10733.341,11206.351,11376.926,9998.488,9063.537,9599.362,10024.115,10311.552,8770.022,10177.039,11265.544,13803.741,15071.986,15606.63,16159.931,16699.129,17287.868
"Micronesia, Fed. States of",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2094.48,2060.874,1944.21,2054.62,2061.643,2179.424,2257.322,2277.946,2312.427,2269.675,2371.093,2414.385,2457.987,2531.994,2711.063,2887.354,3021.694,3170.962,3068.371,3082.895,3050.723,3197.214,3522.106,3854.141,3979.627,3898.433,3873.938,4038.768,4357.639,4669.742,4888.36,5057.525,5208.911,5336.099
Moldova,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,290.058,373.927,389.592,485.354,572.302,653.525,575.974,398.41,448.062,505.784,569.109,680.272,894.061,1031.422,1179.323,1526.379,2102.942,1890.647,2428.106,2930.062,3031.129,3307.351,3314.553,2715.782,2857.879,3422.643,4121.047,4376.654,4377.542,5293.206,5726.325,6410.925,7001.715,7449.462,8059.457,8584.405,9599.962
Mongolia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1288.653,1324.852,722.215,352.304,419.198,647.441,592.439,511.954,480.917,445.544,473.198,521.317,566.403,639.373,789.958,989.177,1321.606,1616.138,2109.269,1687.55,2602.373,3702.359,4281.33,4293.834,4081.015,3800.11,3575.095,3612.716,4078.182,4309.049,3965.097,4482.853,4953.553,5348.072,5489.744,5442.558,5485.885,5695.037,5919.766
Montenegro,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1596.628,1893.716,2081.045,2745.758,3379.643,3679.829,4429.804,5984.454,7396.665,6746.378,6694.166,7327.255,6590.582,7189.046,7389.894,6517.418,7031.533,7800.27,8854.776,8911.273,7688.549,9433.03,9820.089,11338.801,12297.276,13087.801,13827.154,14499.906,15199.823
Morocco,1225.165,969.43,953.628,842.002,752.278,741.673,956.733,1030.894,1193.499,1200.487,1351.48,1418.361,1453.799,1340.916,1482.245,1600.892,1745.452,1561.012,1644.073,1614.86,1486.875,1489.702,1573.475,1914.006,2163.48,2232.944,2427.109,2759.516,3189.2,3162.86,3134.698,3367.347,3224.712,3463.601,3527.712,3235.57,3235.218,3401.256,3615.592,3622.679,3375.435,3905.428,3570.115,3979.871,4212.023,4414.754,4607.914,4817.576,5040.629
Mozambique,396.816,300.914,300.392,263.659,270.38,353.788,413.827,187.301,164.966,171.727,271.733,272.614,191.23,189.937,187.082,187.295,241.649,283.513,313.064,346.574,319.358,296.268,302.546,326.075,383.27,416.811,435.334,482.198,563.649,520.403,471.904,594.586,657.645,664.078,673.969,589.86,428.927,461.415,504.536,508.164,454.063,501.507,581.038,647.135,687.379,717.772,738.089,826.559,919.247
Myanmar,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,109.093,134.372,159.287,145.105,139.436,177.444,213.4,239.129,266.297,347.813,492.977,593.446,727.194,1015.564,1104.637,1175.911,1244.184,1223.742,1163.794,1177.083,1271.677,1302.277,1527.434,1216.811,1227.697,1381.059,1454.258,1525.445,1597.757,1675.172,1765.453
Namibia,no data,no data,no data,no data,no data,no data,no data,no data,no data,1765.605,1908.834,2025.611,2264.913,2099.215,2283.063,2476.947,2406.479,2423.594,2189.317,2118.411,2156.03,1954.968,1825.849,2630.11,3470.147,3742.509,3870.937,4378.564,4198.55,4340.183,5410.977,5870.933,6038.862,5540.619,5555.93,5020.473,4611.508,5438.761,5666.273,5099.427,4225.729,4879.203,4854.445,4785.679,5052.894,5293.877,5458.072,5588.044,5704.157
Nauru,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,3066.932,3053.016,3144.743,2509.316,3982.194,4630.943,4813.327,6521.166,10005.183,8975.704,8630.426,7090.709,7825.366,8550.692,10582.207,10567.406,10346.097,11841.081,12088.572,11756.986,11909.515,12166.843,12510.176,12814.478,13092.616
Nepal,144.492,165.128,163.054,174.291,180.152,182.892,194.619,197.599,228.087,225.476,226.445,241.458,213.342,223.029,227.325,241.15,243.348,259.233,252.809,255.294,266.158,269.25,269.082,281.039,319.068,354.973,388.995,440.856,532.331,542.536,671.998,795.314,794.093,809.346,827.394,882.308,880.225,1027.965,1161.534,1185.682,1139.192,1241.341,1354.066,1352.605,1467.576,1590.43,1709.545,1832.281,1963.715
Netherlands,13750.491,11429.727,11013.574,10682.307,9904.974,10008.042,13875.191,16895.4,17956.109,17597.26,21581.579,22057.794,24191.955,23356.332,24935.531,29350.802,29084.068,26808.388,28018.706,28393.845,26327.855,26996.17,29401.972,35814.268,40477.3,42054.884,44936.006,51880.384,58015.396,52807.447,51165.823,54342.114,50175.559,52276.986,53026.478,45302.804,46165.177,48799.874,53224.694,52672.504,52222.364,58960.71,57427.756,61769.702,65194.932,67797.891,70231.54,72326.384,74507.076
New Zealand,7245.874,7502.04,7369.526,7063.323,6959.7,6942.517,8372.339,11187.924,13641.732,13101.222,13440.096,12425.793,11755.018,12535.612,14607.178,16938.736,18504.786,18205.274,14888.767,15347.121,14021.625,13669.131,15706.932,20461.053,24849.116,27384.825,26220.073,31914.994,31762.708,28270.277,33393.529,38059.162,39684.531,42083.005,44285.966,38200.039,39414.454,42275.793,42761.93,42287.718,41307.21,48792.618,47226.095,48071.747,47222.599,48407.444,50361.411,52358.227,54338.686
Nicaragua,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,898.199,935.34,947.14,940.143,973.071,999.413,1030.74,1054.66,1011.904,1010.231,1077.784,1152.801,1224.724,1326.658,1498.88,1438.131,1499.068,1652.097,1728.147,1783.56,1909.424,2029.124,2091.463,2147.856,2008.404,1940.115,1952.183,2163.083,2371.681,2599.258,2762.391,2912.665,3072.151,3240.37,3417.8
Niger,609.433,510.028,458.113,395.659,310.002,295.81,378.695,430.394,426.027,394.734,435.341,394.9,393.718,343.177,211.016,241.954,243.965,224.475,250.234,231.66,197.275,207.769,227.424,267.41,285.39,320.925,335.336,389.258,477.272,462.269,476.064,511.49,528.921,551.557,562.888,484.173,497.885,517.589,570.983,554.124,568.606,593.802,592.241,630.8,695.723,730.875,764.496,794.259,825.217
Nigeria,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,652.915,615.663,521.905,553.126,760.992,1224.938,1560.382,1655.818,1802.587,481.951,554.64,583.187,730.836,780.399,963.236,1221.651,1563.031,1791.823,2197.776,1927.476,2328.425,2543.504,2756.41,2998.068,3222.691,2718.586,2176.001,1968.563,2153.094,2229.854,2083.162,2088.09,2202.456,1755.326,1734.355,1962.767,2191.995,2447.192,2719.367
North Macedonia ,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1263.863,1383.543,1824.418,2387.158,2348.109,1980.429,1888.755,1931.989,1878.237,1839.616,1974.061,2440.813,2796.622,3071.897,3359.608,4076.296,4838.148,4579.092,4576.228,5097.26,4728.373,5239.649,5498.612,4860.422,5152.966,5462.379,6111.186,6073.003,5986.552,6698.161,6599.902,7672.009,8463.441,8957.388,9488.944,9990.435,10533.327
Norway,15746.262,15484.681,15196.29,14906.174,14968.787,15728.224,18853.038,22445.038,24143.118,24245.515,28187.293,28514.498,30432.89,27880.632,29236.375,34790.001,37225.29,36561.409,34732.137,36300.553,38094.597,38553.843,43083.871,50161.513,57676.821,66924.047,74255.799,85276.992,97119.989,80115.693,87823.805,100815.931,101779.186,103214.973,97302.705,74568.136,70629.25,75940.152,82605.966,76303.683,68275.277,90540.804,105825.926,99266.299,102459.149,102472.664,102671.942,104551.351,106623.48
Oman,5357.779,6019.899,6317.029,6148.449,6324.402,7025.7,5214.195,5145.493,5001.098,5278.566,7267.924,6806.242,7213.061,6995.28,7010.595,7284.846,7869.076,7983.97,6920.864,7554.515,9266.358,9088.213,9285.343,9792.637,11042.532,13563.457,15946.355,17716.421,25061.257,19235.875,21677.793,23518.573,24129.012,23328.489,23219.693,18924.97,17020.387,17731.849,19885.103,19069.311,17076.319,19479.401,23240.138,21265.625,21381.113,21195.766,21139.095,21093.664,21128.57
Pakistan,464.514,533.72,566.631,514.264,543.141,528.617,527.085,536.673,602.277,612.192,597.112,663.662,681.187,702.671,690.619,787.304,802.298,772.279,750.802,694.752,698.964,666.691,662.991,741.252,854.153,920.498,1007.352,1125.625,1187.339,1075.506,1107.551,1271.725,1351.566,1370.242,1409.471,1527.373,1566.625,1653.406,1698.034,1500.683,1376.512,1565.575,1650.279,1471.098,no data,no data,no data,no data,no data
Palau,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,7900.288,8304.592,8404.127,7923.588,8462.146,9327.328,9678.117,10136.305,10498.22,9882.582,10080.443,10885.959,12294.283,13004.425,14149.356,16037.963,17161.725,16383.831,16289.539,15876.323,14624.096,13165.721,13941.386,15113.302,18209.284,21235.383,22382.057,23271.985,24077.503
Panama,2146.47,2371.712,2559.063,2567.34,2619.583,2710.017,2755.167,2708.269,2292.215,2250.821,2397.225,2580.386,2871.87,3071.246,3207.884,3212.815,3711.349,3929.349,4173.999,4286.698,4261.463,4244.106,4324.661,4469.688,4807.66,5146.047,5598.289,6350.183,7369.186,7806.732,8332.576,9653.933,11063.257,12273.18,13221.567,14102.156,14866.506,15731.102,16181.217,16526.419,13342.722,15540.795,17409.626,18493.465,19346.088,20275.404,21250.217,22271.897,23342.699
Papua New Guinea,1380.844,1319.408,1223.39,1194.658,1079.594,975.967,1039.809,1159.833,1565.167,1455.035,1265.882,1444.104,1546.581,1713.713,1834.984,1581.631,1639.773,1527.441,1138.365,1013.232,1007.517,862.099,814.701,995.275,1111.943,1269.526,1411.902,1576.159,1883.527,1833.09,2132.185,2552.043,2865.783,2800.178,2992.711,2742.906,2567.586,2755.488,2861.448,2877.497,2715.968,2233.292,2621.832,2581.179,2624.041,2590.906,2557.595,2582.818,2614.409
Paraguay,1299.661,1608.463,1636.527,1762.992,1390.886,1154.145,1335.761,1084.695,1392.417,977.835,1185.277,1585.242,1592.055,1580.207,1681.396,1897.134,2008.188,2003.578,1824.648,1706.395,1675.793,1577.681,1312.083,1377.521,1693.886,1857.78,2285.125,2988.684,4054.044,3623.931,4329.69,5301.834,5153.417,5892.846,6065.282,5360.077,5265.061,5608.156,5703.324,5302.239,4885.396,5433.251,5597.532,5842.959,6095.322,6339.764,6719.809,6996.163,7283.331
Peru,1164.828,1373.068,1332.455,1011.725,1018.785,861.599,1263.729,2040.65,1579.545,1908.456,1301.465,1530.736,1562.58,1487.861,1839.228,2147.428,2193.686,2272.351,2141.114,1903.93,1940.238,1935.546,2017.765,2159.744,2408.091,2669.214,3106.719,3587.798,4210.546,4181.705,5057.071,5736.328,6406.712,6647.407,6584.696,6169.375,6212.801,6778.729,7053.558,7008.542,6150.898,6676.953,7158.773,7668.665,7952.029,8269.16,8598.614,8930.552,9270.606
Philippines,774.484,829.816,843.471,735.714,678.342,645.597,615.047,666.915,744.307,816.961,828.821,830.407,946.762,949.733,1094.543,1237.311,1316.406,1279.835,988.487,1112.353,1087.287,1003.957,1050.297,1062.619,1137.068,1261.241,1470.825,1764.683,2011.634,1923.674,2237.157,2473.249,2721.252,2903.189,2995.504,3039.234,3107.646,3153.314,3279.519,3512.195,3325.836,3576.11,3623.593,3859.194,4168.99,4523.346,4926.267,5373.385,5864.983
Poland,1595.047,1497.841,1803.464,2056.958,2042.04,1899.817,1965.541,1691.129,1819.392,1772.091,1629.047,2105.486,2315.647,2351.742,2692.704,3612.264,4066.179,4075.977,4459.097,4348.147,4485.064,4987.859,5205.517,5699.557,6684.675,8023.921,9031.797,11252.863,13999.496,11532.283,12510.805,13776.572,13010.54,13550.385,14183.116,12545.188,12369.893,13819.834,15504.366,15694.594,15792.61,18008.152,18342.676,22393.03,23434.207,24778.115,26364.557,27756.305,28655.104
Portugal,3338.764,3296.654,3095.096,2838.655,2596.075,2716.645,3774.582,4724.451,5532.62,5977.577,7957.244,9026.301,10863.487,9547.643,9977.615,11787.315,12187.582,11594.755,12216.689,12487.712,11531.467,11734.878,12927.584,15793.852,18055.893,18790.561,19840.474,22813.667,24946.256,23126.175,22539.038,23213.126,20576.825,21653.505,22109.318,19252.015,19986.362,21482.834,23573.299,23333.317,22224.555,24703.713,24540.377,26878.872,28122.863,29530.601,30878.186,32027.542,33211.232
Puerto Rico,4507.15,4940.784,5146.929,5257.186,5777.438,6058.641,6495.499,6987.398,7579.339,8094.29,8675.576,9093.48,9687.443,10255.532,10942.949,11667.589,12305.024,12968.394,14430.159,15293.182,16192.127,18243.709,18972.77,19820.208,20988.989,21959.317,22935.951,23664.874,24898.335,25768.726,26435.742,27278.853,27944.742,28513.15,28981.343,29755.35,30585.55,31347.273,31549.375,32851.875,32608.045,33289.375,36123.366,37093.332,37765.027,38677.874,39804.612,41708.215,43408.978
Qatar,27242.483,27819.566,22657.373,18003.756,17496.536,15495.701,11644.458,11773.23,10853.896,11039.938,13150.172,11500.519,13038.976,11797.162,12009.396,13689.653,15143.479,18841.6,15421.783,19689.651,30461.311,28600.029,30701.131,35919.758,42548.115,54357.783,60591.776,65934.266,72484.634,53822.909,69796.138,96827.857,101933.117,99180.39,93054.141,66346.911,57965.377,59127.513,66421.617,63007.696,50962.499,65380.861,83520.998,81968.336,84898.635,88731.45,92358.998,97239.062,99641.693
Romania,2052.081,2450.352,2441.211,2125.157,1710.302,2101.997,2264.368,2517.949,2593.057,2314.744,1641.855,1241.063,847.68,1147.325,1317.048,1563.117,1565.472,1571.689,1885.349,1600.881,1667.613,1800.966,2108.445,2672.061,3487.699,4608.801,5744.634,8273.885,10446.484,8540.187,8391.048,9546.749,8919.363,9481.981,10025.457,8951.736,9378.957,10717.263,12465.699,12928.148,13021.962,14874.18,15821.133,18413.471,20214.003,21684.251,23316.28,24804.914,26272.514
Russian Federation,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,482.767,1322.006,1979.411,2264.343,2787.022,2935.03,1949.801,1427.307,1901.956,2255.253,2552.788,3197.573,4403.962,5708.838,7426.005,9761.368,12464.244,9156.97,11431.148,14306.432,15287.967,15928.699,14007.509,9257.935,8723.523,10723.996,11261.716,11555.269,10180.66,12617.864,15645.688,13005.71,13324.115,13519.514,13763.395,13884.889,14046.407
Rwanda,292.782,320.559,329.641,339.297,317.361,364.611,399.283,428.416,442.811,447.143,417.717,298.957,317.043,325.858,223.451,245.276,268.93,345.662,338.306,284.166,266.055,248.99,242.338,257.7,277.634,334.407,368.508,442.334,545.574,585.04,612.395,674.982,730.185,728.395,749.269,758.834,753.876,783.521,797.104,836.016,803.372,853.124,1004.718,1031.692,997.98,1006.212,1056.83,1103.139,1185.061
Saint Kitts and Nevis,1338.747,1609.725,1847.251,1829.835,2144.801,2406.13,2851.256,3289.063,3926.955,4392.77,4969.878,4912.915,5386.942,5806.085,6407.518,6819.77,7195.174,8010.438,8260.891,8670.829,9279.584,9962.552,10304.318,9922.475,10566.955,11256.635,13095.2,13845.794,15451.231,15215.837,15136.905,16076.845,15694.489,16455.077,17737.032,17628.819,18367.916,19103.03,19229.138,19581.712,15475.748,14879.693,16565.781,18158.491,18868.462,19584.533,20316.813,21076.475,21864.54
Saint Lucia,1373.087,1546.061,1439.284,1528.786,1922.756,2141.232,2520.48,2743.223,3096.607,3463.514,4069.783,4249.598,4599.798,4604.862,4736.704,5003.443,5119.759,5181.542,5588.756,5821.497,5843.353,5553.186,5558.316,6051.87,6490.831,6861.984,7614.247,7944.157,8462.296,8248.564,8555.92,9113.38,9232.222,9542.229,10008.505,10291.46,10591.881,11282.751,11585.525,11773.428,8496.098,10295.001,12703.961,13572.256,14140.519,14735.436,15281.517,15798.975,16333.955
Saint Vincent and the Grenadines,903.445,1110.425,1227.421,1309.102,1435.282,1537.223,1686.1,1828.411,2077.695,2211.424,2456.285,2584.104,2815.081,2896.038,2924.036,3188.478,3340.515,3500.225,3755.704,3922.719,3973.449,4284.994,4518.089,4710.272,5082.069,5353.688,5933.621,6572.506,6740.48,6564.113,6613.132,6544.688,6686.015,6988.344,7028.297,7154.784,7390.469,7643.104,8001.555,8234.203,7851.359,7873.226,8538.685,9359.9,10048.196,10637.094,11141.289,11658.032,12198.741
Samoa,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1655.952,1509.117,1552.03,1557.508,1638.535,1927.085,2341.911,2704.296,2850.163,3121.319,3733.905,3348.774,3658.418,3969.173,4088.771,4182.937,4144.645,4258.955,4338.053,4529.348,4478.955,4632.08,4379.239,4225.2,4142.543,4638.145,4889.147,5128.457,5377.417,5612.719,5835.08
San Marino,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,59313.405,61150.61,64498.508,72991.531,79110.201,67011.543,60426.235,57512.891,50336.185,51986.532,51234.869,43068.693,44308.666,45887.687,49477.281,48043.86,45640.984,54733.239,52447.43,58540.803,61492.539,63505.434,65500.538,67198.646,68934.966
Saudi Arabia,19543.4,20846.201,16507.657,13252.671,11688.011,9666.717,7698.924,7221.922,7083.177,7287.351,8562.256,9143.234,9242.65,8740.742,8663.672,8957.512,9666.949,9858.968,8512.504,9144.607,10448.562,9898.276,9937.444,11027.901,12891.372,15943.457,17827.384,19196.07,23403.651,18836.967,22028.368,26966.305,28348.573,27290.188,27079.664,22453.589,21515.643,23081.196,28036.026,27892.86,23271.412,28215.155,34441.059,32586.172,33144.336,33695.11,34114.781,34642.927,35215.94
Senegal,767.972,677.895,645.372,559.501,529.936,563.251,773.09,902.228,865.668,828.149,936.148,894.485,930.568,852.61,560.956,693.418,706.864,642.569,686.369,689.683,614.004,648.446,680.83,831.623,931.745,993.237,1027.786,1197.551,1403.795,1307.516,1272.622,1366.534,1318.614,1372.686,1397.017,1219.373,1269.553,1361.221,1458.73,1436.224,1465.244,1603.346,1569.546,1714.653,1885.532,2068.859,2163.521,2249.293,2377.78
Serbia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2417.326,1895.421,1587.882,1302.459,1733.695,2291.259,3009.723,3486.086,3695.343,4398.828,5878.873,7087.453,6168.228,5673.62,6809.94,6014.914,6752.797,6598.935,5588.979,5765.203,6292.546,7252.404,7417.206,7733.803,9184.198,9528.432,11301.218,12356.82,13501.613,14564.419,15613.083,16638.055
Seychelles,2329.353,2403.455,2293.938,2280.452,2338.076,2588.553,3165.945,3638.988,4128.118,4407.201,5302.844,5314.655,6128.346,6559.088,6555.429,6748.825,6583.091,7280.929,7715.784,7747.491,7578.829,7663.083,8431.923,8524.935,10176.659,11093.314,12014.418,12155.702,11480.433,9707.265,10805.099,11647.017,11999.897,14762.223,15189.416,15375.608,16721.449,17738.31,18602.985,19361.549,14199.336,15306.13,19982.733,20889.545,21094.598,22375.629,23734.455,25175.8,26627.502
Sierra Leone,479.601,501.744,552.581,469.374,539.979,450.535,330.043,281.362,451.564,405.247,219.455,261.748,228.231,259.186,308.752,295.71,318.646,286.074,223.939,218.906,205.251,228.033,251.704,265.323,264.775,285.106,323.259,360.425,409.443,391.213,401.835,448.324,566.37,716.148,713.53,592.903,525.948,495.812,533.972,521.396,508.812,509.482,479.777,414.962,416.579,423.025,440.158,472.556,500.631
Singapore,5004.992,5672.105,6000.032,6717.837,7160.262,6788.387,6870.769,7794.688,9328.951,10725.743,12763.342,14501.96,16136.244,18290.132,21552.408,24914.851,26232.869,26375.868,21829.278,21796.642,23852.834,21699.748,22159.833,23730.379,27608.075,29961.308,33768.446,39432.895,40008.577,38926.813,47236.672,53891.462,55547.546,56967.426,57564.802,55645.607,56895.643,61164.897,66836.539,66070.471,61274.006,77710.07,82807.649,87884.162,91727.949,95922.794,99984.451,103993.11,108204.034
Slovak Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2571.845,2950.857,3711.945,4004.815,4076.513,4236.587,3869.038,3839.803,3982.454,4626.832,6341.548,8040.066,9141.837,10700.341,14374.845,18074.59,16591.518,16925.818,18526.85,17520.021,18284.89,18734.142,16399.946,16572.743,17591.574,19508.33,19396.966,19539.376,21747.285,21263.247,24471.091,26713.719,28310.814,29718.748,30972.307,32300.319
Slovenia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,9639.262,8357.859,8468.162,10748.36,10810.791,10470.497,11168.219,11509.456,10259.494,10502.321,11804.768,14873.628,17254.827,18152.125,19723.796,23912.494,27744.207,24854.229,23570.184,25156.137,22674.49,23516.527,24263.959,20898.913,21681.335,23511.316,26224.257,26138.901,25617.868,29338.087,28526.621,32350.022,34914.319,37268.588,39325.87,40964.989,42708.664
Solomon Islands,793.112,812.633,782.719,711.88,691.194,611.274,529.419,540.761,598.335,570.057,689,709.333,815.246,885.848,1153.358,1306.637,1381.767,1385.676,1171.173,1215.225,1017.394,965.938,795.544,788.629,866.985,1014.727,1119.587,1260.251,1389.053,1428.609,1604.149,1938.786,2131.454,2250.761,2274.897,2168.568,2227.003,2310.86,2474.44,2417.332,2236.417,2194.647,2204.607,2285.399,2367.06,2459.537,2549.74,2647.986,2747.293
Somalia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,437.511,481.926,514.686,531.554,558.643,606.778,592.097,655.442,622.951,647.762,667.318,717.406,756.98,798.435,842.464,887.663,932.9
South Africa,3074.684,3122.686,2806.158,3062.892,2633.905,1955.165,2176.064,2801.31,2954.825,3004.44,3425.585,3587.879,3802.578,3716.193,3786.21,4145.21,3869.7,3937.658,3508.14,3423.595,3382.066,2964.029,2791.18,4209.22,5415.089,6033.211,6276.173,6776.465,6355.879,6552.265,8130.193,8799.477,8207.059,7458.04,6984.926,6256.667,5750.785,6678.292,6991.709,6622.629,5672.278,6983.509,6684.479,6190.742,6426.894,6590.219,6717.186,6814.567,6916.592
"South Sudan, Republic of",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1659.546,1041.463,1337.232,1316.366,1289.852,237.034,143.345,240.328,302.262,388.423,418.594,585.003,417.438,479.037,475.59,483.188,493.47,522.262
Spain,6128.024,5381.909,5171.535,4501.838,4471.654,4694.759,6477.301,8187.29,9598.667,10566.133,13693.638,14697.501,16013.155,13409.697,13419.62,15475.607,16095.75,14782.949,15457.11,15814.188,14761.108,15400.911,17097.916,21501.074,24932.129,26438.031,28414.133,32588.562,35484.39,32131.382,30566.877,31676.69,28344.913,29094.337,29537.627,25776.217,26549.363,28211.927,30438.338,29603.298,26968.374,30563.552,29799.745,33090.238,34932.613,36372.935,37578.479,38580.996,39618.83
Sri Lanka,333.918,342.812,365.498,389.999,452.288,443.046,470.142,484.746,501.62,498.479,564.868,611.088,651.332,689.023,787.255,829.22,903.331,1003.944,1026.15,1025.7,1065.469,1017.154,1061.683,1162.71,1259.771,1477.595,1698.156,1928.714,2410.801,2472.242,2894.26,3320.074,3446.355,3737.366,3969.713,4057.742,4150.367,4401.055,4360.149,4082.694,3852.39,3996.572,3341.996,no data,no data,no data,no data,no data,no data
Sudan,486.908,339.389,239.807,318.513,375.019,253.184,328.588,516.781,404.705,696.391,87.197,95.292,113.476,186.506,205.922,239.507,292.909,350.723,366.582,352.442,422.316,492.676,554.652,635.575,772.939,996.677,1249.767,1599.596,1700.513,1401.244,1637.419,2034.461,1396.292,1462.582,1628.497,1679.025,1638.638,1199.177,796.298,777.066,777.259,764.588,723.032,533.845,525.726,519.984,513.974,507.435,500.45
Suriname,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1413.616,1535.96,1406.579,1093.085,1213.311,2270.813,2790.049,2945.34,3495.323,2837.245,2904.549,2464.817,3075.376,3571.556,4057.746,4800.797,5577.122,6165.518,7316.459,7917.317,8806.017,8770.289,9844.747,10013.725,10042.68,9036.347,5761.783,6156.461,6772.07,6662.874,4786.833,4896.065,5687.183,5667.105,6319.004,6932.823,7328.512,7762.946,8022.433
Sweden,16877.243,15396.745,13576.621,12470.948,12976.142,13549.507,17852.72,21629.289,24339.27,25412.176,30253.863,31490.221,32584.883,24351.052,25978.285,30246.923,32986.123,30307.156,30585.081,30928.571,29589.141,27207.49,29846.186,37249.257,42736.876,43349.851,46425.841,53496.534,55929.862,46734.909,52658.794,60540.218,57816.023,60845.007,59704.814,51274.278,51590.473,53459.072,54295.731,51694.498,52706.294,61203.119,56188.324,55215.847,56894.238,59697.848,62071.28,64369.311,66745.722
